GROUPS,Word1,Word2,Word3,Word4,Word5,Word6,Word7





Basics Lvl3,men huy ,i7x̱w,ḵiy̓át ,ḵex̱ ,Ímen,i7x̱w éncha ,i tti 

Basics Lvl4,kwétsi,kwélhi,iyáw̓it,,,,

Bonus,lhkwun,,,,,,

Question,stam,ti7éncha,swat,eshán̓/shan̓ ,,,


Basics Lvl1,chen,ents,chexw,ta new,ta néwyap ,chet,kwétsiw̓it

Action Lvl1,ha7lhs,stl’i7,huy̓ ,tsun,Ímesh,,

Adjective Lvl1,ha7lh,ḵey,etsím,hiyí ,nach’ím̓ ,ch’ésp’i7,

Family Lvl1,elhtách,chésha7,man,men̓ ,mén̓men ,kwepkwúpits,

Animal Lvl1,push,hew̓ít,ḵ’iyí7ch,ch’ésḵen,kshaws,kweshú,ḵ’eláḵ’a
Family Lvl2,kwtams ,chewásh ,si7l,ímats,,,





Basics Lvl2,i7x̱w swat ,hawḵ,hawḵ stam ,nch’nch’u7,en7án̓us,haw,
Action Lvl2,p’i7t,ch’iin,ḵ’ayt,kwílten ,héwa7s ,huyá7,is
Object,lam̓,kw’áxwa7,latám,lepát,seplín,kw’chustn,
Body Part,ḵlum̓ ,ḵw’éla7n,nax̱ch,méḵsen,tsútsin,,


Animal Lvl2,kwu7s,chíyatmixw,élhḵay̓,ḵwen̓ímach,kw’át’an,ḵw’iyítḵ,
Action Lvl3,ínexw,el̓éli,kw’enmán,kw’áchnalhn,kw’acht,kway,
Action Lvl4,ch’em̓,kat,éx̱wu7n,,,,
To Be Human,esḵénaxw,esyú7kw ,smáts’en ,séselḵw,íx̱i,sḵwálwen ,
Nature/Poetry,spáḵ’em,slhem̓xw ,spahím̓ ,sch’úlha7,kwúsen,skwayl ,
