Word,Translation

a few,kw’in
all,i7x̱w
also,Ímen
always,men huy
arrogant,smáts’en
bad,ḵey
big,hiyí
bite,ch’em̓
box,kw’áxwa7
bread,seplín
brother,áyish
call,ḵ’ayt
cat,push
children,mén̓men
climb,kat
close,ch’it
commend,kw’enmán
could,lhkwun
cough,éx̱wu7n
crow,ḵ’eláḵ’a
cut,kw’ích’in
daughter,men̓
earth,St’éx̱ts’em
eat,Ílhen
elk,ḵ’iyí7ch
eye,ḵlum̓
feel,íx̱i
fight,kwílten
food,Sha7áy
flower,spáḵ’em
friend,Sníchim
go,huy̓
go,huyá7
hand,nax̱ch
heart,sḵwálwen
here,i tti
house,lam̓
house,Ch’á7elhay
how,eshán̓/shan̓
I,chen
I am,chan
I/me,ents
in,kwétsi
keep,is
lift,ch’iin
like,ha7lhs
lonely,séselḵw
look,kw’acht
mother,chésha7
mosquito,ḵwen̓ímach
mountain,Nexwlelexm
mouth,tsútsin
no,haw
no,Nilh
nose,méḵsen
nothing,hawḵ stam
one,nch’nch’u7
older,kwúpits
parents,elhtách
pig,kweshú
rat,hew̓ít
see,kw’áchnalhn
seagull,ḵw’iyítḵ
shame,íx̱i
small,etsím
star,kwúsen
sun,snéḵwem
tell,tsun
that,kwétsiw̓it
these,iyáw̓it
to,el̓éli
two,en7án̓us
water,Stakw
want,stl’i7
what,stam
who,swat
window,kw’chustn
wife,chewásh
would,k
you,chexw
you,ta new
